find_in_visits.site	find_in_visits.country	find_in_visits.source	find_in_visits.site2	find_in_visits.traffic_source	find_in_visits.landingpage	find_in_visits.sendingpage	find_in_visits.user	find_in_visits.pages	find_in_visits.timestamps	find_in_visits.year	find_in_visits.month	find_in_visits.day
toyota.ca	616	243	google.pl	1160	toyota.ca/toyota/en/build-price	google.pl/search?client=opera&q=toyota+canada&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["toyota.ca/toyota/en/build-price","toyota.ca/toyota/en/build-price/camry","toyota.ca/toyota/en/build-price"]	[1493299536000,1493299578000,1493300362000]	17	4	27
moto.wp.pl#	616	243	wp.pl	6	moto.wp.pl/koniec-z-wymiana-dowodu-rejestracyjnego-ze-wzgledu-na-brak-miejsca-na-pieczatki-6115815020816001a	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["moto.wp.pl/koniec-z-wymiana-dowodu-rejestracyjnego-ze-wzgledu-na-brak-miejsca-na-pieczatki-6115815020816001a"]	[1493296798000]	17	4	27
eurosport.onet.pl#	616	243	google.pl	1160	eurosport.onet.pl/boks/giganci-ringu-joshua-i-kliczko-w-sobotniej-megawalce-na-wembley/6rc414	google.pl/search?client=opera&q=joshua&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["eurosport.onet.pl/boks/giganci-ringu-joshua-i-kliczko-w-sobotniej-megawalce-na-wembley/6rc414"]	[1493297064000]	17	4	27
wiadomosci.wp.pl#	616	243	wp.pl	6	wiadomosci.wp.pl/rosyjski-okret-tonie-po-zderzeniu-ze-statkiem-handlowym-na-morzu-czarnym-6116536168195713a	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["wiadomosci.wp.pl/rosyjski-okret-tonie-po-zderzeniu-ze-statkiem-handlowym-na-morzu-czarnym-6116536168195713a","wiadomosci.wp.pl/oficer-bundeswehry-zatrzymany-pod-zarzutem-terroryzmu-mial-skrajnie-prawicowe-poglady-6116521930364545a"]	[1493297359000,1493297394000]	17	4	27
wiadomosci.wp.pl#	616	243	wp.pl	6	wiadomosci.wp.pl/tylko-w-wp-pawel-kukiz-zmienia-zdanie-co-do-macierewicza-wiemy-co-stoi-za-jego-decyzja-6116488736340097a	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["wiadomosci.wp.pl/tylko-w-wp-pawel-kukiz-zmienia-zdanie-co-do-macierewicza-wiemy-co-stoi-za-jego-decyzja-6116488736340097a","wiadomosci.wp.pl/makabryczna-zbrodnia-popelniona-wobec-przyjaciela-sad-podtrzymal-wyrok-6116589794687105a"]	[1493311573000,1493311673000]	17	4	27
niezalezna.pl*	616	243	kitco.com	5	niezalezna.pl	kitco.com	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["niezalezna.pl","niezalezna.pl/97849-tonie-statek-w-gdyni","niezalezna.pl","niezalezna.pl/97825-wicepremier-masakruje-platforme-obywatelska-wystarczyl-jeden-przyklad-jak-dzialalo-panstwo-za-"]	[1493312221000,1493312229000,1493312279000,1493312337000]	17	4	27
money.pl*	616	243	wp.pl	6	money.pl/gospodarka/wiadomosci/artykul/t-mobile-polska-sprzedaz-deutsche-telekom,230,0,2308070.html	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["money.pl/gospodarka/wiadomosci/artykul/t-mobile-polska-sprzedaz-deutsche-telekom,230,0,2308070.html","money.pl/gospodarka/wiadomosci/artykul/murapol-budowa-katowice,87,0,2308695.html","money.pl/gospodarka/wiadomosci/artykul/t-mobile-polska-sprzedaz-deutsche-telekom,230,0,2308070.html"]	[1493311724000,1493311828000,1493311834000]	17	4	27
wp.pl*	616	243	kitco.com	5	wp.pl	kitco.com	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["wp.pl","wiadomosci.wp.pl/tylko-w-wp-pawel-kukiz-zmienia-zdanie-co-do-macierewicza-wiemy-co-stoi-za-jego-decyzja-6116488736340097a","wp.pl","wiadomosci.wp.pl/makabryczna-zbrodnia-popelniona-wobec-przyjaciela-sad-podtrzymal-wyrok-6116589794687105a","wp.pl","wp.pl","moto.wp.pl/od-dzis-czynna-nowa-jezdnia-drogi-s7-w-szydlowcu-6116455356184705a","wp.pl","film.wp.pl/krystyna-janda-zalamana-po-stracie-przyjaciolki-to-ona-przyczynila-sie-do-powstania-fundacji-i-teatru-aktorki-6116488733448321a","wp.pl","moto.wp.pl/honda-civic-type-r-z-dwoma-rekordami-czy-na-pewno-6115500541364353a","bycjakmodelka.wp.pl/aktualnosci/mowiac-szczerze-bardzo-nie-lubie-chodzic-po-sklepach-wywiad-z-aleksandra-szwed","wp.pl"]	[1493311557000,1493311573000,1493311670000,1493311673000,1493311710000,1493311841000,1493311868000,1493311936000,1493311945000,1493312012000,1493312048000,1493312188000,1493312206000]	17	4	27
kitco.com*	616	243	NULL	5	kitco.com	NULL	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["kitco.com","kitco.com/charts/popup/au24hr3day.html","kitco.com/charts/popup/au0365nyb.html"]	[1493311505000,1493311507000,1493311529000]	17	4	27
kozak-diamonds.pl*	616	243	cinkciarz.pl	5	kozak-diamonds.pl	cinkciarz.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["kozak-diamonds.pl"]	[1493308432000]	17	4	27
wp.tv*	616	243	wp.pl	6	wp.tv/i,gigantyczna-inwestycja-w-czarnobylu,mid,2001537,cid,2275650,klip.html?ticaid=6190c1	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["wp.tv/i,gigantyczna-inwestycja-w-czarnobylu,mid,2001537,cid,2275650,klip.html?ticaid=6190c1"]	[1493306131000]	17	4	27
wikipedia.org*	616	243	google.pl	1160	pl.wikipedia.org/wiki/Lockheed_Martin_F-35_Lightning_II	google.pl/search?client=opera&q=f35&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["pl.wikipedia.org/wiki/Lockheed_Martin_F-35_Lightning_II","pl.wikipedia.org/wiki/Lockheed_Martin_F-35_Lightning_II#Uzbrojenie","pl.wikipedia.org/wiki/Lockheed_Martin_F-35_Lightning_II","pl.wikipedia.org/wiki/Lockheed_F-22_Raptor"]	[1493302632000,1493302661000,1493303171000,1493303221000]	17	4	27
defence24.pl*	616	243	google.pl	1160	defence24.pl	google.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["defence24.pl","defence24.pl/584060,odbudowac-potege-francji-wizja-marcona-i-le-pen-analiza","defence24.pl","defence24.pl/584420,120-tys-nowych-karabinkow-dla-bundeswehry-niemcy-szukaja-nastepcy-g36-analiza","defence24.pl","defence24.pl/586840,rosyjski-okret-zatonal-w-poblizu-bosforu","defence24.pl/586739,bulgaria-nowe-gripeny-zastapia-mig-29","defence24.pl/372807,saab-chwali-sie-mysliwcem-gripen-e-foto","defence24.pl/586234,kontrakt-podpisany-szwedzki-okret-rozpoznawczy-powstanie-w-polsce","defence24.pl/marynarka-wojenna","defence24.pl/581302,rosyjskie-okrety-w-kanale-la-manche-z-brytyjska-eskorta","defence24.pl/584925,kolejny-nosiciel-pociskow-kalibr-nk-w-budowie","defence24.pl/sily-powietrzne","defence24.pl/584979,polskie-f-16-nad-krajami-baltyckimi","defence24.pl/sily-powietrzne"]	[1493301188000,1493301683000,1493301786000,1493301799000,1493301961000,1493301974000,1493302055000,1493302137000,1493302278000,1493302372000,1493302396000,1493302444000,1493302478000,1493302496000,1493302584000]	17	4	27
moto.pl*	616	243	google.pl	1160	moto.pl/MotoPL/7,88389,21697972,opel-ampera-e-coraz-blizej-polski.html	google.pl/search?client=opera&q=opel+hybryda+ampera+cena&sourceid=opera&ie=UTF-8&oe=UTF-8#q=opel+ampera-e	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["moto.pl/MotoPL/7,88389,21697972,opel-ampera-e-coraz-blizej-polski.html"]	[1493301009000]	17	4	27
onet.pl*	616	243	google.pl	1160	moto.onet.pl/aktualnosci/opel-ampera-e-juz-w-sprzedazy/5sw2lf	google.pl/search?client=opera&q=opel+hybryda+ampera+cena&sourceid=opera&ie=UTF-8&oe=UTF-8#q=opel+ampera-e	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["moto.onet.pl/aktualnosci/opel-ampera-e-juz-w-sprzedazy/5sw2lf"]	[1493300855000]	17	4	27
dixi-car.pl*	616	243	google.pl	1160	dixi-car.pl/opel-ampera-b.htm	google.pl/search?client=opera&q=opel+hybryda+ampera+cena&sourceid=opera&ie=UTF-8&oe=UTF-8#q=opel+ampera-e	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["dixi-car.pl/opel-ampera-b.htm"]	[1493300641000]	17	4	27
autokult.pl*	616	243	google.pl	1160	autokult.pl/28626,opel-ampera-e-zrewolucjonizuje-elektromobilnosc-w-europie	google.pl/search?client=opera&q=opel+hybryda+ampera+cena&sourceid=opera&ie=UTF-8&oe=UTF-8#q=opel+ampera-e	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["autokult.pl/28626,opel-ampera-e-zrewolucjonizuje-elektromobilnosc-w-europie"]	[1493300542000]	17	4	27
toyota.ca*	616	243	google.pl	1160	toyota.ca/toyota/en/build-price	google.pl/search?client=opera&q=toyota+canada&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["toyota.ca/toyota/en/build-price","toyota.ca/toyota/en/build-price/camry","toyota.ca/toyota/en/build-price"]	[1493299536000,1493299578000,1493300362000]	17	4	27
vimeo.com*	616	243	kitco.com	5	vimeo.com/213619529	kitco.com	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["vimeo.com/213619529","vimeo.com/214950799","vimeo.com/214950799"]	[1493299407000,1493299408000,1493299470000]	17	4	27
jaguar.com*	616	243	jaguar.pl	6	rules.config.jaguar.com/jdx/pl_pl/f-pace_k18	jaguar.pl/f-pace	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["rules.config.jaguar.com/jdx/pl_pl/f-pace_k18","rules.config.jaguar.com/jdx/pl_pl/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl3/jdxmodel.html","rules.config.jaguar.com/jdx/pl_pl/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/jdxexterior.html","rules.config.jaguar.com/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1at/jdxinterior.html","rules.config.jaguar.com/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1at/jdxother.html","rules.config.jaguar.com/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1at/jdxpayoff.html","rules.config.jaguar.com/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1at/jdxinterior.html","rules.config.jaguar.com/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1at/jdxinterior.html#/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1at/jdxinterior.html@","rules.config.jaguar.com/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1at/jdxinterior.html#/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1at_vsaw/jdxinterior.html","rules.config.jaguar.com/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1at/jdxinterior.html#/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1at_vsaw/jdxinterior.html@","rules.config.jaguar.com/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1at/jdxinterior.html#/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1at_vsau/jdxinterior.html","rules.config.jaguar.com/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1at_vsau/jdxexterior.html","rules.config.jaguar.com/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1at_vsau/jdxexterior.html#/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1at_vsau/jdxexterior.html@","rules.config.jaguar.com/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1at_vsau/jdxexterior.html#/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1af_vsau/jdxexterior.html","rules.config.jaguar.com/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1at_vsau/jdxexterior.html#/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1af_vsau/jdxexterior.html@","rules.config.jaguar.com/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1at_vsau/jdxexterior.html#/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/b16f-f45a_n-1af_vsau/jdxexterior.html","rules.config.jaguar.com/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1at_vsau/jdxexterior.html#/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/b16f-f45a_n-1af_vsau/jdxexterior.html@","rules.config.jaguar.com/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1at_vsau/jdxexterior.html#/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/a-delglass_b16f-f45a_n-1af_vsau/jdxexterior.html","rules.config.jaguar.com/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/a-delglass_b16f-f45a_n-1af_vsau/jdxother.html","rules.config.jaguar.com/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/a-delglass_b16f-f45a_n-1af_vsau/jdxother.html#/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/a-delglass_b16f-f45a_n-1af_vsau/jdxother.html__QS__q=z13a","rules.config.jaguar.com/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/a-delglass_b16f-f45a_n-1af_vsau/jdxother.html#/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/a-delglass_b16f-f45a_n-1af_vsau_z13a/jdxother.html","rules.config.jaguar.com/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/a-delglass_b16f-f45a_n-1af_vsau/jdxother.html#/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/a-delglass_b16f-f45a_f53a_n-1af_vsau_z13a/jdxother.html","rules.config.jaguar.com/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/a-delglass_b16f-f45a_f53a_n-1af_vsau_z13a/jdxpayoff.html","rules.config.jaguar.com/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/a-delglass_b16f-f45a_n-1af_vsau/jdxother.html#/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/a-delglass_b16f-f45a_n-1af_vsau_z13a/jdxother.html","rules.config.jaguar.com/jdx/pl_pl_seatoff/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/a-delglass_b16f-f45a_n-1af_vsau/jdxother.html","rules.config.jaguar.com/jdx/pl_pl/f-pace_k18","rules.config.jaguar.com/jdx/pl_pl/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl3/jdxmodel.html","rules.config.jaguar.com/jdx/pl_pl/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/jdxexterior.html","rules.config.jaguar.com/jdx/pl_pl/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/jdxexterior.html#/jdx/pl_pl/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/jdxexterior.html@","rules.config.jaguar.com/jdx/pl_pl/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/jdxexterior.html#/jdx/pl_pl/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1af/jdxexterior.html","rules.config.jaguar.com/jdx/pl_pl/f-pace_k18/3evri/a-20p-250aawd_a-suv_tl1/n-1af/jdxpayoff.html"]	[1493298220000,1493298249000,1493298261000,1493298270000,1493298281000,1493298284000,1493298310000,1493298315000,1493298332000,1493298337000,1493298357000,1493298365000,1493298370000,1493298382000,1493298387000,1493298394000,1493298401000,1493298428000,1493298435000,1493298466000,1493298469000,1493298508000,1493298530000,1493298560000,1493298561000,1493298623000,1493298630000,1493298640000,1493298644000,1493298650000,1493298659000]	17	4	27
jaguar.pl*	616	243	wp.pl	5	jaguar.pl	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["jaguar.pl","jaguar.pl/i-pace","jaguar.pl","jaguar.pl/f-pace","jaguar.pl/f-pace-modele","jaguar.pl/f-pace","jaguar.pl/f-pace-modele","jaguar.pl","jaguar.pl/xe-opis","jaguar.pl/katalogi","jaguar.pl/system/car_models/price_lists/000/000/162/original/Cennik_Jaguar_XE_MY18.pdf?1490964291=undefined"]	[1493298155000,1493298188000,1493298201000,1493298208000,1493298571000,1493298576000,1493298578000,1493298695000,1493298704000,1493298717000,1493298730000]	17	4	27
landrover.com*	616	243	landrover.pl	6	rules.config.landrover.com/jdxl/pl_pl/l550_k17	landrover.pl/discovery-sport	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["rules.config.landrover.com/jdxl/pl_pl/l550_k17","rules.config.landrover.com/jdxl/pl_pl/l538_k17","rules.config.landrover.com/jdxl/pl_pl/l538_k17/3et2d/a-5door/jdxmodel.html","rules.config.landrover.com/jdxl/pl_pl/l538_k17"]	[1493298010000,1493298067000,1493298091000,1493298107000]	17	4	27
landrover.pl*	616	243	google.pl	1160	landrover.pl	google.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["landrover.pl","landrover.pl/discovery-sport","landrover.pl/discovery-sport","landrover.pl/range-rover-evoque","landrover.pl/range-rover-evoque"]	[1493297933000,1493297983000,1493298051000,1493298061000,1493298140000]	17	4	27
rp.pl*	616	243	wp.pl	5	rp.pl	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["rp.pl","rp.pl/Spoleczenstwo/304269850-Zwrot-skladki-OC-za-bezpieczna-jazde.html","rp.pl/Spoleczenstwo/304269850-Zwrot-skladki-OC-za-bezpieczna-jazde.html#ap-1","rp.pl","rp.pl/Przestepczosc/304279930-Moskwa-zamordowano-prawniczke.html","rp.pl/Przestepczosc/304279930-Moskwa-zamordowano-prawniczke.html#ap-1","rp.pl"]	[1493297748000,1493297773000,1493297792000,1493297802000,1493297809000,1493297838000,1493297888000]	17	4	27
sportowefakty.wp.pl#	616	243	moto.wp.pl	6	sportowefakty.wp.pl/boks/683202/perfekcja-i-konspiracja-zaczela-sie-wojna-psychologiczna-kliczki-z-joshua	moto.wp.pl/koniec-z-wymiana-dowodu-rejestracyjnego-ze-wzgledu-na-brak-miejsca-na-pieczatki-6115815020816001a	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["sportowefakty.wp.pl/boks/683202/perfekcja-i-konspiracja-zaczela-sie-wojna-psychologiczna-kliczki-z-joshua","sportowefakty.wp.pl/boks/683250/anthony-joshua-nie-boi-sie-porazki-z-kliczko","sportowefakty.wp.pl/tenis/683053/wojciech-fibak-agnieszka-radwanska-moze-sie-odrodzic-w-madrycie","sportowefakty.wp.pl/tenis/683053/wojciech-fibak-agnieszka-radwanska-moze-sie-odrodzic-w-madrycie","sportowefakty.wp.pl/tenis/683053/wojciech-fibak-agnieszka-radwanska-moze-sie-odrodzic-w-madrycie","sportowefakty.wp.pl/tenis/682959/agnieszka-radwanska-musze-czekac-na-swoj-czas","sportowefakty.wp.pl/tenis/682959/agnieszka-radwanska-musze-czekac-na-swoj-czas","sportowefakty.wp.pl/tenis/682959/agnieszka-radwanska-musze-czekac-na-swoj-czas"]	[1493296875000,1493296994000,1493297600000,1493297669000,1493297687000,1493297698000,1493297721000,1493297728000]	17	4	27
google.pl*	616	243	wp.pl	5	google.pl/search?client=opera&q=joshua&sourceid=opera&ie=UTF-8&oe=UTF-8	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["google.pl/search?client=opera&q=joshua&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=joshua&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=joshua&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?q=joshua&client=opera&hs=pcQ&tbm=isch&tbo=u&source=univ&sa=X&ved=0ahUKEwiI6PrW1MTTAhUEQpoKHXttCggQiR4IogE&biw=1229&bih=616&dpr=1.56","google.pl/search?q=joshua&client=opera&hs=pcQ&tbm=isch&tbo=u&source=univ&sa=X&ved=0ahUKEwiI6PrW1MTTAhUEQpoKHXttCggQiR4IogE&biw=1229&bih=616&dpr=1.56#imgrc=T6eLBSVTFOz0HM:","google.pl/search?client=opera&q=joshua&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=klitschko&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=range+rover&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=jaguar&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=toyota+canada&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=toyota+canada&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=opel+hybryda+ampera+cena&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=opel+hybryda+ampera+cena&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=opel+hybryda+ampera+cena&sourceid=opera&ie=UTF-8&oe=UTF-8#q=opel+ampera-e","google.pl/search?client=opera&q=opel+hybryda+ampera+cena&sourceid=opera&ie=UTF-8&oe=UTF-8#q=opel+ampera-e","google.pl/search?client=opera&q=opel+hybryda+ampera+cena&sourceid=opera&ie=UTF-8&oe=UTF-8#q=opel+ampera-e","google.pl/search?client=opera&q=opel+hybryda+ampera+cena&sourceid=opera&ie=UTF-8&oe=UTF-8#q=opel+ampera-e","google.pl/search?client=opera&q=opel+hybryda+ampera+cena&sourceid=opera&ie=UTF-8&oe=UTF-8#q=opel+ampera-e","google.pl/search?q=opel+ampera-e&client=opera&hs=jDm&tbm=isch&imgil=fmgRxKW7Q8CI1M:;mosjioFwH-EmkM;http%3A%2F%2Fwww.spidersweb.pl%2F2016%2F02%2Fopel-ampera-e-zapowiedz-w-europie.html&source=iu&pf=m&fir=fmgRxKW7Q8CI1M:,mosjioFwH-EmkM,_&usg=__cFa9FdK-gT-xKSZM1P5h9iO7iEg&biw=1229&bih=616&dpr=1.56&ved=0ahUKEwiz8NT94cTTAhWL1SwKHXVYBaYQyjcIXQ&ei=M_UBWfOKD4urswH1sJWwCg","google.pl/search?q=opel+ampera-e&client=opera&hs=jDm&tbm=isch&imgil=fmgRxKW7Q8CI1M:;mosjioFwH-EmkM;http%3A%2F%2Fwww.spidersweb.pl%2F2016%2F02%2Fopel-ampera-e-zapowiedz-w-europie.html&source=iu&pf=m&fir=fmgRxKW7Q8CI1M:,mosjioFwH-EmkM,_&usg=__cFa9FdK-gT-xKSZM1P5h9iO7iEg&biw=1229&bih=616&dpr=1.56&ved=0ahUKEwiz8NT94cTTAhWL1SwKHXVYBaYQyjcIXQ&ei=M_UBWfOKD4urswH1sJWwCg#imgrc=fmgRxKW7Q8CI1M:","google.pl/search?client=opera&q=defence24.pl&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=f35&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=f35&sourceid=opera&ie=UTF-8&oe=UTF-8","google.pl/search?client=opera&q=f35&sourceid=opera&ie=UTF-8&oe=UTF-8#q=f22","google.pl/search?client=opera&q=f35&sourceid=opera&ie=UTF-8&oe=UTF-8#q=f22","google.pl/search?client=opera&q=f35&sourceid=opera&ie=UTF-8&oe=UTF-8"]	[1493296967000,1493297052000,1493297175000,1493297184000,1493297266000,1493297286000,1493297309000,1493297931000,1493298687000,1493299531000,1493300429000,1493300495000,1493300508000,1493300532000,1493300627000,1493300842000,1493301001000,1493301089000,1493301101000,1493301102000,1493301187000,1493302609000,1493303184000,1493303198000,1493304114000,1493304150000]	17	4	27
cinkciarz.pl*	616	243	kozak-diamonds.pl	5	cinkciarz.pl	kozak-diamonds.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["cinkciarz.pl"]	[1493291662000]	17	4	27
bilion.com.pl*	616	243	cinkciarz.pl	5	bilion.com.pl	cinkciarz.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["bilion.com.pl"]	[1493288992000]	17	4	27
shippingline.org*	616	243	oocl.container-tracking.org	6	shippingline.org/track/?type=container&container=797799-7&line=oocl&track=Track+container	oocl.container-tracking.org	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["shippingline.org/track/?type=container&container=797799-7&line=oocl&track=Track+container","shippingline.org/track/?container=797799-7&type=container&line=hanjin","shippingline.org/track/?container=797799-7&type=container&line=oocl","shippingline.org","shippingline.org/freight/OOCL","shippingline.org/track/?container=2585076441&line=oocl&type=bill"]	[1493288366000,1493288394000,1493288398000,1493288419000,1493288430000,1493288464000]	17	4	27
container-tracking.org*	616	243	google.pl	1160	oocl.container-tracking.org	google.pl/search?client=opera&q=www.oocl&sourceid=opera&ie=UTF-8&oe=UTF-8#q=oocl+container+search	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	["oocl.container-tracking.org"]	[1493288335000]	17	4	27
